Request ID,Host,Endpoint,Parameter,Value,Source
REQ-0001,intake-analytics.wikimedia.org,/v1/events,id,bbb217ba-f4b0-442a-8963-c176354a9672,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,author_role,user,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,content_parts,['Hello'],JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,content_content_type,text,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,status,finished_successfully,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,recipient,all,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_model_slug,auto,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_default_model_slug,auto,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_is_visually_hidden_from_conversation,False,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_exclude_after_next_user_message,False,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_content_references,[],JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_search_result_groups,[],JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_search_queries,[],JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_image_results,[],JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_real_time_audio_has_video,False,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_system_hints,[],JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_dictation,False,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_voice_mode_message,False,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_image_gen_async,False,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,metadata_trigger_async_ux,False,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,p,/message/status,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,o,replace,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,v,finished_successfully,JSON_Payload
