Request ID,Host,Endpoint,Parameter,Value,Source
REQ-0001,android.chat.openai.com,/ces/v1/b,User-Agent,ChatGPT/1.2026.202 (Android 16; Pixel 6a; build 2620225),Header
REQ-0001,android.chat.openai.com,/ces/v1/b,Content-Type,text/plain,Header
REQ-0001,android.chat.openai.com,/ces/v1/b,OAI-Device-Id,ad84af60-4902-4378-9cc1-76b6c707b9d8,Header
REQ-0002,chat.openai.com,Response,x-oai-request-id,3e04525d-8bee-414f-9d22-38fb278b6cbc,Header
REQ-0002,chat.openai.com,Response,Set-Cookie,__oailb=eyJhbGciOiJFUzI1NiIsImtpZCI6Im9haWxiLXYxIiwidHlwIjoiSldUIn0.eyJob3N0IjoiY2hhdC5nYXRld2F5LnVuaWZpZWQtODYuYXBpLm9wZW5haS5jb20iLCJpc3MiOiJlZGdlLWdhdGV3YXkiLCJhdWQiOlsiYW5kcm9pZC5jaGF0Lm9wZW5haS5jb20iXSwiZXhwIjoxNzg3NTcyMDM3LCJpYXQiOjE3ODc1NjgxMzd9.mugtCijm2grGynHejH878Oo8TTEzk2TzJgTNh1aDzrOX2vNSL2FUZFbYL1WJjDwDKFZ-pu3qmfmn1b7-mq_Hqw,Header
REQ-0002,chat.openai.com,Response,Set-Cookie,__cf_bm=Kxds2IrUaIs.V2gOfTe47JpIgajUIYBw5gAhE.9jPZ8-1787568136.9485526-1.0.1.1-wHLsJdXn4KgVQpi2xGSgQ4TEq2_GdiilgmuxYZbcIT0qpiS5k_gnnq8ZiLf1.RniN0FZXTpAR6OOlVPxzHs0EsyZ0sJy4LdetHzTPst_ZPSsaoPU4K8APquxBb6DjCCz,Header
REQ-0002,chat.openai.com,Response,Set-Cookie,__cflb=0H28vqQWtcC5yespLhMoB1ougynsXbD7WM7twVavRDm,Header
REQ-0002,chat.openai.com,Response,Set-Cookie,_cfuvid=MPJb6WAEENqiLC.mw.ih8c191HVIj9IKDs6hLlxn_IQ-1787568136.9485526-1.0.1.1-52vOfEhHAQJp3lhROzUSCLp8IFREaScpjFO9R6PI2.k,Header
REQ-0003,android.chat.openai.com,/ces/v1/b,User-Agent,ChatGPT/1.2026.202 (Android 16; Pixel 6a; build 2620225),Header
REQ-0003,android.chat.openai.com,/ces/v1/b,Content-Type,text/plain,Header
REQ-0003,android.chat.openai.com,/ces/v1/b,OAI-Device-Id,ad84af60-4902-4378-9cc1-76b6c707b9d8,Header
REQ-0004,chat.openai.com,Response,x-oai-request-id,20bbe096-284e-4df5-9243-bb700e5c48ca,Header
REQ-0004,chat.openai.com,Response,Set-Cookie,__oailb=eyJhbGciOiJFUzI1NiIsImtpZCI6Im9haWxiLXYxIiwidHlwIjoiSldUIn0.eyJob3N0IjoiY2hhdC5nYXRld2F5LnVuaWZpZWQtODYuYXBpLm9wZW5haS5jb20iLCJpc3MiOiJlZGdlLWdhdGV3YXkiLCJhdWQiOlsiYW5kcm9pZC5jaGF0Lm9wZW5haS5jb20iXSwiZXhwIjoxNzg3NTcyMDQ0LCJpYXQiOjE3ODc1NjgxNDR9.eCJyCKGO7mgKgdcy-w6xil4ekBfjF2WIiAISSfh0l6cSSbhg1jIReBUk29uKR9ADWfQ35-RQbKxsqqAVpnohyw,Header
REQ-0004,chat.openai.com,Response,Set-Cookie,__cf_bm=pvQ9xAouEXTzLi2XQaoYvU8e3U_YlPPC004zmIsmxQ8-1787568144.5339482-1.0.1.1-m2GHIusWOCdnvKCrGOlhZ9tyS0wHKXKXqvPuQO91j3fl5rZzR5yxl4XxRSreXHfpQAd5gtrN_wAPWw60GGf6xLOKiCQ59I4gX1FZvkxaCznzufRhizs9WFu7EOyQReNv,Header
REQ-0004,chat.openai.com,Response,Set-Cookie,__cflb=0H28vqQWtcC5yespLhMoB1ougynsXbD7XgjH3x8sHMu,Header
REQ-0004,chat.openai.com,Response,Set-Cookie,_cfuvid=vcxskqupWw8ejB8Qxx0t0MO3kgZsHs0XOuK2c5HBfi8-1787568144.5339482-1.0.1.1-AmSdDUQIw2kw5SOaOX9p2YGzBKsK291RMUowVJP_IfQ,Header
REQ-0005,android.chat.openai.com,/ces/v1/b,User-Agent,ChatGPT/1.2026.202 (Android 16; Pixel 6a; build 2620225),Header
REQ-0005,android.chat.openai.com,/ces/v1/b,Content-Type,text/plain,Header
REQ-0005,android.chat.openai.com,/ces/v1/b,OAI-Device-Id,ad84af60-4902-4378-9cc1-76b6c707b9d8,Header
REQ-0006,chat.openai.com,Response,x-oai-request-id,fef90b17-7f49-4c92-b88d-14545f94994b,Header
REQ-0006,chat.openai.com,Response,Set-Cookie,__oailb=eyJhbGciOiJFUzI1NiIsImtpZCI6Im9haWxiLXYxIiwidHlwIjoiSldUIn0.eyJob3N0IjoiY2hhdC5nYXRld2F5LnVuaWZpZWQtODYuYXBpLm9wZW5haS5jb20iLCJpc3MiOiJlZGdlLWdhdGV3YXkiLCJhdWQiOlsiYW5kcm9pZC5jaGF0Lm9wZW5haS5jb20iXSwiZXhwIjoxNzg3NTcyMDc0LCJpYXQiOjE3ODc1NjgxNzR9.XLIvk_uquAT1amYDBf6Z-jRZkC-evbwknt-U784sefx30TeqIFrJ7Z2MgMaIZgGXcxeJ_dByf1BD6eIxYD8u7w,Header
